"Didelphis_virginiana" "Lynx_canadensis" "Lynx_rufus" "Urocyon_cinereoargenteus" "Vulpes_lagopus" "Vulpes_vulpes" "Canis_lupus" "Canis_latrans" "Neovison_vison" "Mustela_frenata" "Mustela_nivalis" "Mustela_erminea" "Lontra_canadensis" "Martes_pennanti" "Martes_americana" "Gulo_gulo" "Procyon_lotor" "Mephitis_mephitis" "Ursus_maritimus" "Ursus_americanus" "Odocoileus_virginianus" "Rangifer_tarandus" "Alces_alces" "Blarina_brevicauda" "Sorex_fumeus" "Sorex_palustris" "Sorex_cinereus" "Sorex_hoyi" "Sorex_arcticus" "Sorex_maritimensis" "Condylura_cristata" "Parascalops_breweri" "Marmota_monax" "Tamias_striatus" "Neotamias_minimus" "Glaucomys_volans" "Glaucomys_sabrinus" "Tamiasciurus_hudsonicus" "Sciurus_carolinensis" "Erethizon_dorsatum" "Ondatra_zibethicus" "Synaptomys_borealis" "Synaptomys_cooperi" "Dicrostonyx_hudsonius" "Phenacomys_ungava" "Microtus_pinetorum" "Microtus_chrotorrhinus" "Microtus_pennsylvanicus" "Myodes_gapperi" "Peromyscus_maniculatus" "Peromyscus_leucopus" "Napaeozapus_insignis" "Zapus_hudsonius" "Castor_canadensis" "Lepus_americanus" "Lepus_arcticus" "Sylvilagus_floridanus"
"Didelphis_virginiana" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lynx_canadensis" 0 1 0.986354882863912 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.568412740194788 0.568412740194788 0.568412740194788 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084
"Lynx_rufus" 0 0.986354882863912 1 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.712187417741511 0.568412740194788 0.568412740194788 0.568412740194788 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084
"Urocyon_cinereoargenteus" 0 0.712187417741511 0.712187417741511 1 0.926363306133193 0.926363306133193 0.914187944195841 0.914187944195841 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.568412740194788 0.568412740194788 0.568412740194788 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084
"Vulpes_lagopus" 0 0.712187417741511 0.712187417741511 0.926363306133193 1 0.970359305080284 0.914187944195841 0.914187944195841 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.568412740194788 0.568412740194788 0.568412740194788 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084
"Vulpes_vulpes" 0 0.712187417741511 0.712187417741511 0.926363306133193 0.970359305080284 1 0.914187944195841 0.914187944195841 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.568412740194788 0.568412740194788 0.568412740194788 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084
"Canis_lupus" 0 0.712187417741511 0.712187417741511 0.914187944195841 0.914187944195841 0.914187944195841 1 0.983504606475389 0.755251381942617 0.755251381942617 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.568412740194788 0.568412740194788 0.568412740194788 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084
"Canis_latrans" 0 0.712187417741511 0.712187417741511 0.914187944195841 0.914187944195841 0.914187944195841 0.983504606475389 1 0.755251381942617 0.755251381942617 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942616 0.568412740194788 0.568412740194788 0.568412740194788 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084
"Neovison_vison" 0 0.712187417741511 0.712187417741511 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942617 0.755251381942617 1 0.971961516188471 0.947408528560147 0.947408528560147 0.913567201895236 0.888546038431166 0.888546038431166 0.888546038431166 0.848381152934983 0.83127138720716 0.796525401421427 0.796525401421427 0.568412740194788 0.568412740194788 0.568412740194788 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084
"Mustela_frenata" 0 0.712187417741511 0.712187417741511 0.755251381942616 0.755251381942616 0.755251381942616 0.755251381942617 0.755251381942617 0.971961516188471 1 0.947408528560147 0.947408528560147 0.913567201895236 0.888546038431166 0.888546038431166 0.888546038431166 0.848381152934983 0.83127138720716 0.796525401421427 0.796525401421427 0.568412740194788 0.568412740194788 0.568412740194788 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.554830218478547 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084 0.515662016320084
